-181.593, 67.262, 2.688,  6.583
-181.591, 67.172, 2.718,  6.616
-181.589, 67.080, 2.757,  6.649
-181.588, 66.987, 2.801,  6.682
-181.586, 66.892, 2.848,  6.715
-181.585, 66.795, 2.895,  6.748
-181.583, 66.697, 2.942,  6.781
-181.582, 66.598, 2.986,  6.814
-181.580, 66.497, 3.027,  6.847
-181.579, 66.395, 3.059,  6.880
-181.577, 66.293, 3.061,  6.913
-181.576, 66.192, 3.035,  6.946
-181.575, 66.092, 2.987,  6.979
-181.573, 65.994, 2.935,  7.012
-181.572, 65.898, 2.885,  7.045
-181.571, 65.804, 2.846,  7.078
-181.570, 65.710, 2.822,  7.111
-181.569, 65.616, 2.817,  7.144
-181.568, 65.522, 2.830,  7.177
-181.567, 65.427, 2.858,  7.210
-181.566, 65.330, 2.897,  7.243
-181.565, 65.232, 2.941,  7.276
-181.564, 65.133, 2.989,  7.309
-181.563, 65.031, 3.038,  7.342
-181.562, 64.929, 3.086,  7.375
-181.561, 64.824, 3.133,  7.408
-181.560, 64.718, 3.177,  7.441
-181.559, 64.611, 3.217,  7.474
-181.558, 64.503, 3.247,  7.507
-181.557, 64.395, 3.247,  7.540
-181.556, 64.287, 3.220,  7.573
